blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes
CLIP_A9545E,NA,,NA,,,0,NA,0,Name from working memory
CLIP_A95696,3.098,,0,,,0,1,1,slowing for rabbit and minor delay in turning
CLIP_A9E4A8,4.694,,1,,,1,1,1,slowed down to read markings sign. Minor delay in turn
CLIP_AB9825,3.354,,0,,,0,NA,0,Name from visual search
CLIP_AD0486,,0,1,,,1,1,1,Leans in left and delays turn to read Markings sign
CLIP_AD359E,NA,,0,,,0,NA,0,Name from working memory
CLIP_AF970F,2.976,,0,,,0,0,0,
CLIP_B41B2C,NA,,1,,,0,0,0,
CLIP_B42489,3.901,,0,,,0,0,1,stopped to look at squirrel 
CLIP_B58269,3.539,,0,,,0,NA,0,Name from visual search
CLIP_BA49B3,3.563,,0,,,0,NA,0,Name from visual search
CLIP_BC60DD,2.792,,0,,,0,0,1,minor delay in turn to look at squirrel
CLIP_BD84FE,NA,,0,,,0,0,0,
CLIP_BDDFE9,6.297,,0,,,0,0,0,
CLIP_BF637D,5.481,,0,,,1,1,1,slowed down and delayed turn to see rabbit
CLIP_C45794,3.086,,0,,,0,0,0,
CLIP_C64E27,2.310,,0,,,1,1,1,delay in turn to see the squirrel
CLIP_C9D003,5.034,,0,,,0,NA,0,Name from visual search
CLIP_CB95FD,4.460,,0,,,1,1,1,Delay in turn to read Markings Sign
CLIP_CD6842,3.143,,0,,,0,0,0,
CLIP_CEF0A7,3.430,,0,,,1,1,1,Delay in turn to see rabbit
CLIP_D0AA7F,2.410,,0,,,0,0,0,
CLIP_D0ED19,3.371,,0,,,0,0,0,very low speed
CLIP_D1108C,3.582,,0,,,0,NA,0,Name from visual search
CLIP_D1810D,,0,1,,,0,0,0,
CLIP_D2B57F,2.477,,0,,,1,1,1,"Lean in to see squirrel, drive closer, major delay to turn"
CLIP_D410E3,3.015,,0,,,1,0,0,Lean in to see Markings sign
CLIP_D6D4ED,3.415,,0,,,0,0,0,
CLIP_D8CAA4,3.094,,0,,,0,1,1,slow down and drive up to the squirrel. Hard to tell if they’re leaning in. 
CLIP_DDA306,4.185,,0,,,0,0,1,Came to a stop before turning to look at the rabbit
CLIP_DDCB80,3.286,,0,,,0,0,0,slight slowing for rabbit
CLIP_DE5E8D,3.843,,0,,,0,1,1,minor delay in taking bend to look at squirrel
CLIP_E2C82B,2.880,,0,,,0,0,0,very low speed
CLIP_E36B98,,0,1,,,0,0,0,
CLIP_E93748,2.973,,0,,,0,NA,0,Name from visual search
CLIP_E93D7E,4.576,,0,,,0,NA,0,Name from visual search
CLIP_E942CC,,0,1,,,0,0,1,minor delay in taking bend to look at squirrel
CLIP_EA173A,2.177,,0,,,1,1,1,"major delay in turn, drove right up to the squirrel and leaned right in. Perfect example of the dual zoom. "
CLIP_EC056B,GLITCH,0,1,,,,,,
CLIP_EC31CA,3.354,,0,,,0,0,0,
CLIP_EC8214,2.835,,0,,,1,1,1,"A slight lean, and delayed turn. "
CLIP_F19905,GLITCH,,1,,,,,,
CLIP_F4653A,3.571,,0,,,0,NA,1,Sudden increase in speed when answering query. 
CLIP_F7BB54,3.185,,0,,,1,1,1,"Leaned, slowed, delayed turn to see rabbit. "
CLIP_F8A86D,NA,,0,,,0,NA,0,Name from working memory
CLIP_F9AEA5,3.902,,0,,,0,0,0,
CLIP_FAB901,NA,,0,,,0,NA,0,Name from working memory
CLIP_FAE29F,3.196,,0,,,0,NA,0,Name from visual search
CLIP_FB6A0F,3.391,,0,,,0,NA,0,Name from visual search
CLIP_FB7FCB,3.439,,0,,,0,1,1,Slowed down and got closer to see rabbit
CLIP_FBA2FE,3.955,,1,,,0,0,0,low speed
CLIP_FBF028,4.421,,1,,,0,0,0,
CLIP_FE9B4E,3.202,,1,,,1,0,1,stopped to look at squirrel 
CLIP_FF89D0,NA,,0,,,0,NA,0,Name from working memory]
CLIP_FFC9D7,2.523,,1,,,1,1,1,slowed down and delayed turn to squirrel 
