blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID,folder,imu_rows,has_imu,roll_p95,pitch_p95,transl_p95,resting_lin
CLIP_236388,3.321,,0.0,,,0.0,,0.0,Name from visual search,C,27_RT,2,Q1,Name,Name1,Visual_Search,0,0,11.39,16.0,13.39,15.0,,3.321,,False,1.3210000000000002,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_27,19103,True,2.547481153029142,21.150100740283825,0.12972936964941606,0.010124806415087374
CLIP_23C07A,,0,1.0,,,1.0,1.0,1.0,"fast approach (5mph), delayed taking the turn",D,16_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,16.73,21.74,18.73,20.74,,,0.0,False,0.0,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True,R3_16,10909,True,2.4305422272707196,3.4568716404407596,0.036313824597008534,0.014422663912498784
CLIP_23D46C,4.151,,0.0,,,0.0,,0.0,visual search for name,C,08_RT,2,Q1,Name,Name1,Visual_Search,0,0,8.87,14.49,10.87,13.49,,4.151,,False,2.151,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_08,21956,True,5.639824560523856,6.372189449114813,0.0844091697205451,0.023448249419420704
CLIP_266BC1,3.121,,0.0,,,0.0,,0.0,visual search for name,C,28_RT,2,Q1,Name,Name1,Visual_Search,0,0,9.64,13.86,11.64,12.86,,3.121,,False,1.121,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_28,14791,True,4.646567935789133,2.6416675165643935,0.03818624901662776,0.013975801424120656
CLIP_26D764,2.737,,0.0,,,1.0,1.0,1.0,slowed right dow,D,27_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.59,15.25,10.59,14.25,,2.737,,False,0.7370000000000001,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True,R3_27,16712,True,2.4424453460480295,7.266272619265168,0.09485199529754479,0.011786154148239868
CLIP_27EA51,, ,1.0,,,0.0,0.0,0.0,,B,23_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,35.49,39.91,37.49,38.91,,,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R2_23,16945,True,7.026338127747621,4.494104032366695,0.08156217127309527,0.019986624416380893
CLIP_2B3CCE,3.495,,0.0,,,0.0,0.0,0.0,,D,26_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.52,13.99,10.52,12.99,,3.495,,False,1.495,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_26,11866,True,2.8576580303183836,5.8105596538434945,0.049865750400810004,0.012287320769625958
CLIP_2C9F04,,0,1.0,,,0.0,0.0,0.0,,B,28_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,28.77,33.07,30.77,32.07,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R2_28,14791,True,1.6945344856609756,1.425170384697151,0.024284174289414456,0.013975801424120656
CLIP_2E1D71,0.964,,1.0,,,0.0,0.0,0.0,,D,13_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,56.92,61.82,58.92,60.82,,0.964,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_13,22280,True,3.6239418826754752,2.496102387657801,0.06675652876026689,0.026757877661110867
CLIP_2E741A,,0,1.0,,,0.0,0.0,0.0,low speed,B,06_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,50.7,54.88,52.7,53.88,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R2_06,22333,True,3.269622803797516,4.879565174413656,0.1775811812114055,0.017866824029690913
